"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"423","apprenticeship",6299,6,59,"female","7",1,689,6.53524127101366,-0.413045193200653,"female-real","male"
"424","apprenticeship",18328,16,169,"female","4",1,1053,6.959399,1.632275,"male-real","male"
"425","apprenticeship",12539,11,144,"female","7",1,515,6.24416690066374,1.16742987244671,"male-real","male"
"426","apprenticeship",20266,18,78,"female","2",1,589,6.378426,-0.05976253,"none","male"
"427","apprenticeship",29695,26,101,"male","7",1,779,6.658011,0.3678954,"female-real","male"
"428","apprenticeship",21434,19,86,"female","2",1,539,6.289716,0.08898806,"none","male"
"429","apprenticeship",15728,14,91,"female","2",1,740,6.60665018619822,0.181957184454825,"none","male"
"430","apprenticeship",11321,10,122,"female","7",1,608,6.41017488196617,0.758365737808568,"female-real","male"
"431","apprenticeship",23632,21,74,"female","2",1,620,6.429719,-0.1341378,"none","male"
"432","apprenticeship",6302,6,60,"female","2",1,519,6.25190388316589,-0.394451368898919,"none","male"
"433","apprenticeship",27614,24,176,"female","4",1,659,6.490724,1.762432,"male-real","male"
"434","apprenticeship",11238,10,98,"female","2",0,454,6.11809719804135,0.31211395456696,"none","male"
"435","apprenticeship",22012,20,10,"female","2",1,483,6.180017,-1.324143,"none","male"
"436","apprenticeship",11237,10,98,"female","2",0,454,6.11809719804135,0.31211395456696,"none","male"
"437","apprenticeship",9551,9,38,"male","4",1,647,6.4723462945009,-0.80351550353706,"female-real","male"
"438","apprenticeship",24083,21,166,"female","4",1,734,6.598509,1.576494,"female-real","male"
"439","apprenticeship",20265,18,78,"female","2",1,589,6.378426,-0.05976253,"none","male"
"440","apprenticeship",27440,24,128,"female","7",1,644,6.467699,0.8699287,"female-real","male"
"441","apprenticeship",18885,17,57,"male","4",1,841,6.734592,-0.4502328,"female-real","male"
"442","apprenticeship",15726,14,91,"female","2",1,740,6.60665018619822,0.181957184454825,"none","male"
"443","apprenticeship",7755,7,96,"female","2",1,653,6.48157712927643,0.274926305963493,"none","male"
"444","apprenticeship",11444,10,158,"female","4",0,452,6.11368217983223,1.42774341267098,"male-real","male"
"445","apprenticeship",12622,11,167,"female","4",1,629,6.44413125670044,1.59508783138658,"female-real","male"
"446","apprenticeship",3567,4,11,"male","4",1,830,6.72142570079064,-1.30554875968387,"male-real","male"
"447","apprenticeship",18884,17,57,"male","4",1,841,6.734592,-0.4502328,"female-real","male"
"448","apprenticeship",6298,6,59,"female","7",1,689,6.53524127101366,-0.413045193200653,"female-real","male"
"449","apprenticeship",3566,4,11,"male","4",1,830,6.72142570079064,-1.30554875968387,"male-real","male"
"450","apprenticeship",21042,19,34,"female","4",1,703,6.555357,-0.8778908,"female-real","male"
"451","apprenticeship",22013,20,10,"female","2",1,483,6.180017,-1.324143,"none","male"
