"","Stimulus","X","Subject","Trial","Block","ACC","RT","Sex","RTlog","cTrial","condition","WordGender"
"220","agent",5105,109,190,4,1,872,"female",6.77078942390898,1.82807984380976,"male-real","male"
"221","agent",16129,303,39,2,1,716,"female",6.57368016696065,-0.882974664567113,"none","male"
"222","agent",2763,105,179,4,1,698,"female",6.54821910276237,1.63058580677569,"male-real","male"
"223","agent",1870,104,47,2,1,580,"female",6.36302810354046,-0.739342637633239,"none","male"
"224","agent",7212,113,123,4,1,574,"male",6.35262939631957,0.625161618238566,"male-real","male"
"225","agent",6597,112,99,2,1,468,"male",6.14846829591765,0.194265537436944,"none","male"
"226","agent",21568,312,82,4,1,577,"male",6.3578422665081,-0.110952519797539,"male-real","male"
"227","agent",1854,104,44,4,1,712,"female",6.56807791141198,-0.793204647733441,"male-real","male"
"228","agent",1946,104,74,7,1,704,"female",6.55677835615804,-0.254584546731413,"female-real","male"
"229","agent",16131,303,39,2,1,716,"female",6.57368016696065,-0.882974664567113,"none","male"
"230","agent",18103,306,109,7,1,737,"male",6.60258789218934,0.373805571104286,"female-real","male"
"231","agent",20873,311,58,2,1,626,"male",6.4393503711001,-0.541848600599162,"none","male"
"232","agent",9725,205,7,2,1,592,"female",6.38350663488401,-1.45750277230261,"none","male"
"233","agent",15718,302,75,4,1,607,"female",6.4085287910595,-0.236630543364679,"male-real","male"
"234","agent",24826,406,26,2,1,857,"male",6.75343791859778,-1.11637670833466,"none","male"
"235","agent",13173,211,20,7,1,650,"male",6.47697236288968,-1.22410072853506,"male-real","male"
"236","agent",14017,212,92,2,1,524,"male",6.26149168432104,0.0685875138698037,"none","male"
"237","agent",19480,309,9,4,1,581,"female",6.36475075685191,-1.42159476556914,"male-real","male"
"238","agent",25434,407,40,2,0,552,"female",6.31354804627709,-0.865020661200379,"none","male"
"239","agent",21570,312,82,4,1,577,"male",6.3578422665081,-0.110952519797539,"male-real","male"
"240","agent",8913,203,99,7,1,608,"female",6.41017488196617,0.194265537436944,"male-real","male"
"241","agent",14619,213,106,7,1,661,"male",6.49375383985169,0.319943561004083,"male-real","male"
"242","agent",23330,403,96,7,1,722,"female",6.58202513889283,0.140403527336741,"male-real","male"
"243","agent",15191,301,108,7,1,722,"female",6.58202513889283,0.355851567737552,"female-real","male"
"244","agent",612,102,11,4,1,611,"male",6.4150969591716,-1.38568675883567,"male-real","male"
"245","agent",19202,308,85,4,1,668,"female",6.50428817353665,-0.0570905096973362,"male-real","male"
"246","agent",6198,111,166,7,1,952,"female",6.85856503479136,1.39718376300814,"female-real","male"
"247","agent",18266,306,183,4,1,575,"male",6.35437004079735,1.70240182024262,"male-real","male"
"248","agent",20906,311,68,7,1,583,"male",6.36818718635049,-0.362308566931819,"female-real","male"
"249","agent",16130,303,39,2,1,716,"female",6.57368016696065,-0.882974664567113,"none","male"
"250","agent",9724,205,7,2,1,592,"female",6.38350663488401,-1.45750277230261,"none","male"
"251","agent",25920,408,17,7,1,554,"female",6.31716468674728,-1.27796273863527,"male-real","male"
"252","agent",40,101,10,2,1,473,"female",6.15909538849193,-1.40364076220241,"none","male"
"253","agent",25921,408,17,7,1,554,"female",6.31716468674728,-1.27796273863527,"male-real","male"
"254","agent",15717,302,75,4,1,607,"female",6.4085287910595,-0.236630543364679,"male-real","male"
"255","agent",23329,403,96,7,1,722,"female",6.58202513889283,0.140403527336741,"male-real","male"
"256","agent",19479,309,9,4,1,581,"female",6.36475075685191,-1.42159476556914,"male-real","male"
"257","agent",13207,211,31,2,1,839,"male",6.73221070646721,-1.02660669150099,"none","male"
"258","agent",3370,106,200,7,0,562,"female",6.33150184989369,2.00761987747711,"female-real","male"
"259","agent",15719,302,75,4,1,607,"female",6.4085287910595,-0.236630543364679,"male-real","male"
"260","agent",9481,204,99,4,1,571,"female",6.34738920965601,0.194265537436944,"female-real","male"
"261","agent",613,102,11,4,1,611,"male",6.4150969591716,-1.38568675883567,"male-real","male"
"262","agent",22958,402,172,7,1,567,"female",6.34035930372775,1.50490778320855,"male-real","male"
"263","agent",9482,204,99,4,1,571,"female",6.34738920965601,0.194265537436944,"female-real","male"
"264","agent",41,101,10,2,1,473,"female",6.15909538849193,-1.40364076220241,"none","male"
"265","agent",23933,404,89,4,1,628,"female",6.4425401664682,0.0147255037696009,"female-real","male"
"266","agent",15190,301,108,7,1,722,"female",6.58202513889283,0.355851567737552,"female-real","male"
"267","agent",24579,405,123,4,1,599,"female",6.39526159811545,0.625161618238566,"female-real","male"
"268","agent",23331,403,96,7,1,722,"female",6.58202513889283,0.140403527336741,"male-real","male"
"269","agent",14016,212,92,2,1,524,"male",6.26149168432104,0.0685875138698037,"none","male"
"270","agent",6199,111,166,7,1,952,"female",6.85856503479136,1.39718376300814,"female-real","male"
"271","agent",22959,402,172,7,1,567,"female",6.34035930372775,1.50490778320855,"male-real","male"
"272","agent",5106,109,190,4,1,872,"female",6.77078942390898,1.82807984380976,"male-real","male"
"273","agent",18267,306,183,4,1,575,"male",6.35437004079735,1.70240182024262,"male-real","male"
"274","agent",21746,312,143,7,1,762,"male",6.63594655568665,0.984241685573252,"female-real","male"
"275","agent",21745,312,143,7,1,762,"male",6.63594655568665,0.984241685573252,"female-real","male"
"2700","apprenticeship",15172,301,97,7,1,791,"female",6.67329796776765,0.158357530703475,"female-real","male"
"2701","apprenticeship",2899,106,32,2,1,611,"female",6.4150969591716,-1.00865268813425,"none","male"
"2702","apprenticeship",5086,109,179,7,1,546,"female",6.30261897574491,1.63058580677569,"female-real","male"
"2703","apprenticeship",17994,306,74,2,1,661,"male",6.49375383985169,-0.254584546731413,"none","male"
"2704","apprenticeship",717,102,36,7,1,803,"male",6.68835471394676,-0.936836674667316,"female-real","male"
"2705","apprenticeship",25130,406,110,7,1,854,"male",6.74993119378857,0.391759574471021,"male-real","male"
"2706","apprenticeship",23793,404,55,2,1,779,"female",6.65801104587075,-0.595710610699364,"none","male"
"2707","apprenticeship",12987,210,138,7,1,997,"male",6.90475076996184,0.89447166873958,"male-real","male"
"2708","apprenticeship",15173,301,97,7,1,791,"female",6.67329796776765,0.158357530703475,"female-real","male"
"2709","apprenticeship",12264,209,77,2,1,1148,"female",7.04577657687951,-0.20072253663121,"none","male"
"2710","apprenticeship",3506,107,40,7,1,577,"female",6.3578422665081,-0.865020661200379,"female-real","male"
"2711","apprenticeship",12543,209,189,4,1,1187,"female",7.07918439460967,1.81012584044303,"female-real","male"
"2712","apprenticeship",2898,106,32,2,1,611,"female",6.4150969591716,-1.00865268813425,"none","male"
"2713","apprenticeship",1595,103,159,7,1,863,"female",6.76041469108343,1.271505739441,"female-real","male"
"2714","apprenticeship",23301,403,90,2,1,671,"female",6.50876913697168,0.0326795071363351,"none","male"
"2715","apprenticeship",716,102,36,7,1,803,"male",6.68835471394676,-0.936836674667316,"female-real","male"
"2716","apprenticeship",12263,209,77,2,1,1148,"female",7.04577657687951,-0.20072253663121,"none","male"
"2717","apprenticeship",23302,403,90,2,1,671,"female",6.50876913697168,0.0326795071363351,"none","male"
"2718","apprenticeship",13110,211,5,4,1,897,"male",6.7990558620588,-1.49341077903608,"female-real","male"
"2719","apprenticeship",15171,301,97,7,1,791,"female",6.67329796776765,0.158357530703475,"female-real","male"
"2720","apprenticeship",25010,406,78,4,1,753,"male",6.62406522779989,-0.182768533264476,"female-real","male"
"2721","apprenticeship",8397,202,124,4,1,578,"male",6.35957386867238,0.6431156216053,"female-real","male"
